question,id
Apakah  gurat di sudut bibir atas sangat pendek?,1
Apakah ada 7 celah insang pada tiap sisi kepala?,2
Apakah ada bercak-bercak putih di sisi tubuh hiu?,3
Apakah ada gurat di antara sirip punggung?,4
Apakah ada gurat di kedua sudut mulut?,5
Apakah ada gurat panjang di depan sirip anus? (hampir sama panjang dengan dasar sirip anus),6
Apakah ada gurat yang menonjol di antara sirip punggung?,7
Apakah ada lekukan yang dalam di bagian tengkuk?,8
Apakah bagian belakang sirip dada melengkung dan berujung lancip?,9
Apakah bagian belakang sirip punggung kedua panjang? (1.6 - 3 kali tinggi siripnya),10
Apakah bagian belakang sirip punggung lurus dan tidak memiliki cuping?,11
Apakah bagian belakang sirip punggung melengkung dan memiliki cuping?,12
Apakah bagian belakang sirip punggung melengkung dan tidak memiliki cuping?,13
Apakah bagian depan kepala hiu hampir lurus dengan lekukan dangkal di bagian tengah?,14
Apakah bagian depan kepala hiu sangat melengkung tanpa lekukan dangkal di bagian tengah?,15
Apakah bagian perut hiu berwarna kelabu?,16
"Apakah bagian punggung hiu belang-belang seperti belana dan burik, dan bagian perut abu-abu polos?",17
Apakah bagian punggung hiu berwarna biru nila dan bagian perut putih?,18
Apakah bentuk kepala hiu membulat dengan moncong yang pendek?,19
Apakah bentuk kepala hiu sangat lebar dan rata?,20
Apakah bentuk sirip hiu lancip melengkung?,21
Apakah celah insang hiu kecil? (kurang dari 2 kali panjang mata),22
Apakah celah insang hiu lebar? (lebih dari 2 kali panjang mata),23
Apakah celah insang panjang hingga mencapai bagian atas kepala?,24
Apakah dentikel kulit hiu terlihat seperti garpu?,25
Apakah di kedua sisi pangkal ekor hiu terdapat lunas (keel) yang keras?,26
Apakah ekor bagian atas hiu hampir sepanjang tubuhnya?,27
Apakah gurat di depan sirip anus sangat panjang? (sama panjang dengan dasar sirip anus),28
Apakah gurat di ujung bibir atas sangat panjang? (hampir sama dengan jarak ujung moncong ke mulut),29
Apakah gurat punggung menonjol di bagian predorsal dan interdosal?,30
Apakah hiu memiliki corak garis dan bercak-bercak kuning atau putih kekuningan di sisi tubuhnya?,31
Apakah hiu memiliki spirakel kecil di belakang mata?,32
Apakah hiu memiliki sungut bercabang dua dengan ujung belakang agak berumbai?,33
Apakah kedua sirip punggung hiu hampir sama besar?,34
Apakah kedua sirip punggung hiu sama besar?,35
Apakah kedua sirip punggung hiu terpisah dan tidak memiliki duri?,36
Apakah kepala dan moncong hiu berbentuk seperti sekop?,37
Apakah kepala dan tubuh hiu terdapat banyak bercak putih dan coklat?,38
Apakah kepala hiu melebar ke samping?,39
"Apakah kepala, tubuh, dan sirip hiu dipenuhi oleh bintik berwarna abu-abu muda dan putih?",40
Apakah lebar sirip dada hampir sama dengan lebar mulutnya?,41
Apakah lebih dari separuh sirip punggung kedua berwarna hitam?,42
Apakah mata hiu agak lebar dengan posisi hampir di tengah bagian sisi kepala?,43
Apakah mata hiu lebar dengan lekukan di bagian belakang?,44
Apakah mata hiu sangat besar? (bagian atasnya hampir mencapai bagian atas kepala),45
Apakah mata hiu terletak di atas kepala dengan gurat menonjol di bawahnya?,46
Apakah mata hiu terletak disamping kepala dengan gurat menonjol di bawahnya?,47
Apakah moncong hiu agak panjang dan berbentuk parabolik menyempit?,48
Apakah moncong hiu panjang dan lancip?,49
Apakah moncong hiu pendek dan bulat melebar?,50
Apakah moncong hiu sangat pendek dan bulat tumpul?,51
"Apakah moncong hiu sangat pendek, bulat melebar, dan berujung tumpul?",52
Apakah moncong sangat pendek dan bulat melebar?,53
Apakah moncong sangat pendek dan bulat melebar? (Lebih pendek jarak moncong ke mulut dari jarak antar lubang hidung),54
Apakah mulut hiu sangat lebar hingga melewati belakang mata?,55
Apakah pada bagian tepi mulut terdapat celah memanjang?,56
Apakah pada kedua sirip punggung hiu terdapat duri?,57
Apakah pangkal sirip punggung kedua bersebrangan dengan ujung celah sirip anus?,58
Apakah pangkal sirip punggung kedua di atas ujung celah sirip anus?,59
Apakah pangkal sirip punggung pertama berhadapan dengan ujung belakang sirip dada?,60
Apakah pangkal sirip punggung pertama di ujung belakang sirip dada?,61
Apakah pangkal sirip punggung pertama terletak di belakang dasar sirip dada?,62
Apakah panjang dasar sirip punggung hampir sama dengan jarak sirip punggung dengan pangkal ekor?,63
Apakah panjang dasar sirip punggung lebih pendek dari jarak sirip punggung dengan pangkal ekor?,64
Apakah panjang sirip dada hampir sama panjang dengan panjang kepala?,65
Apakah panjang sirip dada lebih pendek daripada panjang kepala?,66
Apakah puncak sirip punggung pertama berwarna hitam/kelabu?,67
Apakah semua sirip berujung hitam?,68
"Apakah sirip dada hiu besar, lebar, dan berbentuk persegi?",69
Apakah sirip dada sangat panjang dan seperti sabit besar?,70
Apakah sirip ekor hiu sangat panjang?,71
Apakah sirip punggung hiu menyudut ke belakang dengan ujung berwarna pucat?,72
Apakah sirip punggung hiu menyudut ke belakang dengan ujung berwarna putih?,73
Apakah sirip punggung kedua berukuran setidaknya setengah sirip punggung pertama?,74
Apakah sirip punggung kedua lebih kecil dari sirip punggung pertama?,75
Apakah sirip punggung kedua sangat pendek dengan bagian belakang yang sangat panjang?,76
Apakah sirip punggung pertama agak tinggi?,77
Apakah sirip punggung pertama berbentuk segitiga tidak melengkung lancip?,78
Apakah sirip punggung pertama dan kedua hampir sama besar?,79
Apakah sirip punggung pertama dan sirip dada membundar diujungnya?,80
Apakah sirip punggung pertama dan sirip dada sangat lebar?,81
Apakah sirip punggung pertama jauh lebih besar dari sirip punggung kedua?,82
Apakah sirip punggung pertama lebar dan lebih dekat ke dasar sirip perut dibanding dasar sirip dada?,83
Apakah sirip punggung pertama lebih dekat ke sirip perut daripada ke sirip dada?,84
Apakah sirip punggung pertama lebih kecil dari sirip punggung kedua?,85
Apakah sirip punggung pertama miring ke belakang?,86
Apakah sirip punggung pertama rendah dan memanjang?,87
Apakah sirip punggung pertama sangat panjang dan rendah?,88
"Apakah sirip punggung pertama sangat tinggi, lancip, dan melengkung ke belakang?",89
Apakah sirip punggung pertama sangat tinggi?,90
Apakah sirip punggung pertama terletak di belakang dasar sirip dada?,91
Apakah sirip punggung pertama tinggi dan agak lancip melengkung?,92
"Apakah sirip punggung, dada, dan bawah ekor polos (dengan ujung hitam apabila hiu muda)?",93
Apakah tedapat guratan-guratan kulit yang tidak terlalu jelas di sepanjang tubuh?,94
Apakah tepi kepala bagian depan hiu sangat melengkung dengan lekukan dangkal pada bagian tengah?,95
Apakah tepi sirip ekor belakang berwarna hitam menyebar?,96
Apakah terdapat 6 celah insang pada tiap sisi kepala?,97
Apakah terdapat 6 celah insang pada tiap sisi tubuh?,98
Apakah terdapat corak loreng kelabu di bagian atas tubuh hiu dengan guratan menonjol di sisinya?,99
Apakah terdapat corak putih di bagian pipi?,100
Apakah terdapat duri keras di kedua sirip punggung?,101
Apakah terdapat duri panjang pada sirip punggung kedua?,102
Apakah terdapat duri pendek berpangkal lebar di sirip punggung pertama?,103
Apakah terdapat duri-duri yang membesar pada permukaan punggung?,104
Apakah terdapat gurat-gurat yang menonjol di sisi tubuh hiu?,105
Apakah terdapat guratan-guratan kulit di sepanjang tubuh hiu?,106
Apakah terdapat guratan-guratan kulit di sepanjang tubuh?,107
Apakah terdapat lekukan besar yang jelas di belakang sirip ekor?,108
Apakah terdapat lunas (keel) pada bagian bawah pangkal ekor hiu?,109
Apakah tinggi sirip punggung pertama 3 kali dari sirip punggung kedua?,110
Apakah tubuh hiu agak gemuk dan tidak ada gurat menonjol di sisi tubuh?,111
Apakah tubuh hiu berwarna abu-abu tua dengan kulit yang tebal dan bergurat menonjol?,112
Apakah tubuh hiu dipenuhi oleh bintik berwarna gelap dan putih serta garis-garis tipis dan tebal?,113
Apakah tubuh hiu dipenuhi oleh bintik dan bercak berwarna gelap?,114
Apakah tubuh hiu ramping dan tidak ada gurat yang menonjol di sisi tubuh?,115
Apakah tubuh hiu terlihat gemuk?,116
Apakah ujung kedua sirip punggung berwarna putih?,117
Apakah ujung sirip berwarna putih (dewasa) / hitam (muda)?,118
Apakah ujung sirip dada bagian bawah berwarna hitam?,119
Apakah ujung sirip dada bagian belakang memanjang?,120
Apakah ujung sirip punggung dan ekor berwarna hitam (dewasa)/polos (muda)?,121
Apakah ujung sirip punggung kedua berwarna hitam?,122
"Apakah ujung sirip punggung kedua,ujung sirip dada, dan bagian bawah sirip ekor berwarna hitam?",123
Apakah ujung sirip punggung pertama dan cuping bagian atas sirip ekor berwarna putih?,124
"Apakah ujung sirip punggung, dada, dan ekor berwarna putih?",125
"Apakah ukuran mata hiu besar, berwarna hijau, dan dapat berpendar ketika masih segar?",126
"Apakah ukuran mata hiu kecil, berwarna hijau, dan dapat berpendar ketika masih segar?",127
Apakah ukuran sirip punggung kedua sangat kecil?,128
Apakah warna tubuh hiu gelap dan tidak terdapat garis gelap di sekitar insang?,129